id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,overview,poster_path,backdrop_path,tmdb_url,week
157741,tv,Landman,2024-11-17,52.6805,8.035,282,en,Drama,"Set in the proverbial boomtowns of West-Texas and a modern-day tale of fortune-seeking in the world of oil rigs, the series is an upstairs/downstairs story of roughnecks and wildcat billionaires that are fueling a boom so big it’s reshaping our climate, our economy and our geopolitics.",/rxWtATtTdwx0ERQjQ7BtVOMyq5r.jpg,/mh2UczqEXJJVgqohbyZbHTuxwhL.jpg,https://www.themoviedb.org/tv/157741,2025-11-17
239385,tv,The Manipulated,2025-11-05,51.0714,8.8,17,ko,Crime; Drama,"Mild-mannered Tae-jung is wrongfully imprisoned for a heinous crime. He soon discovers that a mysterious figure named Yo-han orchestrated his downfall. Fueled by vengeance, Tae-jung sets out to make Yo-han pay.",/nOj4nsomFyAVJgpp68L0xq3cREc.jpg,/bpPDWVLO5F5Gi5wP61m7nR1N8xo.jpg,https://www.themoviedb.org/tv/239385,2025-11-17
2190,tv,South Park,1997-08-13,50.7179,8.342,4739,en,Animation; Comedy,"Follow the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",/1CGwZCFX2qerXaXQJJUB3qUvxq7.jpg,/3UviYOlhn8EgXMBuiT6MnUuo1w9.jpg,https://www.themoviedb.org/tv/2190,2025-11-17
120089,tv,SPY x FAMILY,2022-04-09,50.004,8.5,2122,ja,Animation; Comedy; Action & Adventure,"A spy, an assassin and a telepath come together to pose as a family, each for their own reasons, while hiding their true identities from each other.",/7NAvPYPAu7MeHwP8E9sn81PqsRh.jpg,/lysUnU6V0VfcthDbviuVlIqgHOR.jpg,https://www.themoviedb.org/tv/120089,2025-11-17
299778,tv,Tatsuki Fujimoto 17-26,2025-11-08,45.6484,7.667,12,ja,Animation; Drama; Comedy; Sci-Fi & Fantasy,"Six studios and seven directors adapt the early works of Tatsuki Fujimoto, the mastermind behind ""Chainsaw Man,"" into an anime anthology. Each episode is an anime adaptation of a short story he drew from ages seventeen to twenty-six, including the first manga he ever submitted for competition. Watch as vivid tales of young love, chaos, madness, and the bonds between people unfold in each episode.",/rVBxMx1IrBdxbxbBuOWK8kiurMB.jpg,/4YrYmBx26WZgITKlcceaIz74vj3.jpg,https://www.themoviedb.org/tv/299778,2025-11-17
1114967,movie,Good Fortune,2025-10-14,45.3386,7.091,170,en,Comedy; Fantasy,A well-meaning but rather inept angel named Gabriel meddles in the lives of a struggling gig worker and a wealthy capitalist.,/r83HIGA0mUiy7I9qVr17pF7SCDP.jpg,/q2V1q2Xxwqg3uXQKufpdCtrnAdn.jpg,https://www.themoviedb.org/movie/1114967,2025-11-17
911430,movie,F1,2025-06-25,43.817,7.806,2591,en,Action; Drama,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,/vqBmyAj0Xm9LnS1xe1MSlMAJyHq.jpg,/ZtcGMc204JsNqfjS9lU6udRgpo.jpg,https://www.themoviedb.org/movie/911430,2025-11-17
402431,movie,Wicked,2024-11-20,43.4448,6.906,2539,en,Drama; Romance; Fantasy,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",/xDGbZ0JJ3mYaGKy4Nzd9Kph6M9L.jpg,/3iD9yEsxKqliZfPck1aoTVC6K53.jpg,https://www.themoviedb.org/movie/402431,2025-11-17
246386,tv,All Her Fault,2025-11-07,43.0856,8.364,22,en,Drama; Mystery; Crime,"In Chicago, Marissa Irvine arrives at 14 Arthur Avenue, expecting to pick up her young son Milo from his first playdate with a boy at his new school. But the woman who answers the door isn't a mother she recognizes. She isn't the nanny. She doesn't have Milo. And so begins every parent's worst nightmare.",/o8vZKZlc8H4OcgpbJuqP0iK4B2.jpg,/uv0LVwNM8mZcwhCa5pd6FJxvKDz.jpg,https://www.themoviedb.org/tv/246386,2025-11-17
271885,tv,As You Stood By,2025-11-07,41.7774,8.1,35,ko,Crime; Drama; Mystery,"When two women plot to end an abusive marriage through murder, an unexpected visitor arrives — threatening to shatter everything they've carefully planned.",/3ciqsMz21p8xp5udriFjRGM5OYs.jpg,/pB4UcD3QoQQTCiZw5HEpcv9o1iC.jpg,https://www.themoviedb.org/tv/271885,2025-11-17
